indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0.6595462444858982,0.0860459388114872,0.47756806861543794,0.8041337485152524
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_024,3,32,31.164894138930006,0.11713134598170219,0.035016637310772446,0.06395090681633364,0.2048571589907665
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0.42607387935654584,0.0315115853234395,0.36575875730231044,0.4886718301885694
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0.42607387935654584,0.0315115853234395,0.36575875730231044,0.4886718301885694
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0.42607387935654584,0.0315115853234395,0.36575875730231044,0.4886718301885694
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y015_019,3,16,15.742940661511865,0.1775206590917076,0.08106238031168614,0.06777389204140011,0.3905325067550667
eversex,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0.9228880261005,0.05849825202604415,0.7049866078058886,0.983590361345491
sex12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0.9228880261005,0.05849825202604415,0.7049866078058886,0.983590361345491
sexcohab,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0.9228880261005,0.05849825202604415,0.7049866078058886,0.983590361345491
sexnonreg,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0,0,,
sexnonregplus,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0,0,,
sexpaid12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0,0,,
sti12m,ZWE2005DHS,CY2005Q4,ZWE_2_12,Centenary,all,female,Y020_024,3,16,15.508220693610806,0.04901609261516352,0.04538088566066326,0.007588650313957303,0.2578424113981438
