indicator,survey_id,survey_mid_calendar_quarter,area_id,area_name,res_type,sex,age_group,n_clusters,n_observations,n_eff_kish,estimate,std_error,ci_lower,ci_upper
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0,0,,
sti12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y020_024,29,157,149.33014577744893,0.08799350716915429,0.02335761500935884,0.051717913883821666,0.1458011430720555
eversex,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,116,108.49336950439535,1,0,,
sex12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0.8337921250015838,0.03520726552259902,0.7530250821193142,0.8919366963050439
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0.7800439023083046,0.03369071238973122,0.7070422094752901,0.838996798116906
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0.05374822269327922,0.021007969986708914,0.024655733054878184,0.11318476211204657
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0.05374822269327922,0.021007969986708914,0.024655733054878184,0.11318476211204657
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0,0,,
sti12m,MWI2015DHS,CY2015Q4,MWI_5_26,Chiradzulu,all,female,Y025_029,27,118,110.49285628662632,0.1278664776783334,0.029477891901614376,0.08031716506254132,0.19752010749122037
eversex,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,220,214.93222372827017,0.6752541472142356,0.029586653721479995,0.6148161781640838,0.7303678822933539
sex12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.5382775708307322,0.026064059963867386,0.48696978864470797,0.588787094385509
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.36281277592426536,0.035385214499642326,0.29667623008610705,0.4345828283347755
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.1715265850319846,0.028599869200429937,0.1224634803496964,0.23498257456125848
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.17546479490646688,0.02874855027769417,0.1259950746280791,0.23904550352730705
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.00393820987448229,0.0037161092466633343,6.171232737982158e-4,0.024690372519352573
sti12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_024,16,221,215.93206930515865,0.08627716853250075,0.01691868516054378,0.058381769609601536,0.12572166750537697
eversex,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.42412341258973024,0.04078167099906134,0.3468016622605919,0.5053472909568233
sex12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.3225912650483419,0.03890548676106875,0.2514615274908248,0.40300857824952746
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.13820899451746363,0.030146453909354786,0.08896653582896553,0.20847006219275468
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.18438227053087827,0.03749085250424906,0.12179395569037788,0.26927210909961297
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.18438227053087827,0.03749085250424906,0.12179395569037788,0.26927210909961297
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0,0,,
sti12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y015_019,16,110,107.77028365109672,0.07236580487547989,0.029942581537207975,0.031519053656648734,0.1575368384455764
eversex,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,110,107.20859418190817,0.9203702290932442,0.022520381933617797,0.8635537637010068,0.9547674339549829
sex12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.7468566017848168,0.036062876232128116,0.6699725373981127,0.8108853624626492
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.5800154346861023,0.03868089929892717,0.5029033899333303,0.6534094424452972
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.15909451887051462,0.031319683679928864,0.10680285470781145,0.2303849420872197
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.16684116709871452,0.03173125275376898,0.11348870062699844,0.23852676880535098
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.007746648228199915,0.007181503564561703,0.001249350355743465,0.04646153645672741
sti12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y020_024,16,111,108.20858995666137,0.09973012624488689,0.031024547233750786,0.05327783541980866,0.1790248395330313
eversex,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,61,59.30674533065735,1,0,,
sex12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0.8745516379972773,0.04170833933109429,0.7679384373325024,0.9362508369648969
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0.7459470983701483,0.061578461329033565,0.6083188482775682,0.8473509274350546
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0.12860453962712903,0.056171641142028286,0.05236327771224353,0.2827336626482292
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0.12860453962712903,0.056171641142028286,0.05236327771224353,0.2827336626482292
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0,0,,
sti12m,MWI2015DHS,CY2015Q4,MWI_5_27,Blantyre,all,female,Y025_029,16,63,61.265049109038934,0.08682202530459068,0.03863764549113677,0.035290116792687246,0.19814694803827493
eversex,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,294,269.9544446277872,0.6837219439954527,0.030629973936812816,0.6208864656939733,0.7404957130631249
sex12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.6215215698289724,0.03354312714747045,0.5539217974247092,0.6847081189677786
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.4712703687091371,0.03237979639219377,0.40860407189402137,0.5348555184308782
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.14692062689873114,0.026826444131023863,0.1017009039862604,0.20759997363093843
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.1502512011198353,0.02855894404577894,0.10238109750160108,0.21513923280008912
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.0033305742211041647,0.003253225002322152,4.892645971317584e-4,0.022304035859851246
sti12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_024,26,295,270.9518955316388,0.07162260714504917,0.016883905321884437,0.04480040578140304,0.11261020535194799
eversex,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.4808458928839662,0.04717226319083307,0.3900692332685748,0.5729049732366263
sex12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.4105822283826342,0.050324511967406615,0.3166671287251635,0.5115012087798214
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.22978151395180285,0.036893480346803384,0.16546466858009215,0.3098173766669575
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.17475443884758263,0.036746516538881474,0.1138802973384953,0.2586697133046809
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.18080071443083134,0.039607973025309315,0.1155702644053147,0.27154468191354286
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.006046275583248715,0.005906327252558397,8.854815710534667e-4,0.04007881431435658
sti12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y015_019,26,163,149.5254863468722,0.06802251837118777,0.02678774459616469,0.030898776663480506,0.14316013398419458
eversex,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,131,120.43029045967393,0.9344886683410234,0.02267491213078376,0.8734520753649125,0.967191870726126
sex12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,132,121.42751143312269,0.8802205352715755,0.022911358053810605,0.8275843841488072,0.9183725331583323
sexcohab,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,132,121.42751143312269,0.7674356855404413,0.03468552842718774,0.6927457669688731,0.8284651321239688
sexnonreg,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,132,121.42751143312269,0.11278484973113423,0.029319482910857682,0.06680184867432633,0.18417339173279101
sexnonregplus,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,132,121.42751143312269,0.11278484973113423,0.029319482910857682,0.06680184867432633,0.18417339173279101
sexpaid12m,MWI2015DHS,CY2015Q4,MWI_5_28,Mwanza,all,female,Y020_024,25,132,121.42751143312269,0,0,,
