iso3,indicator,survey_id,age_group,area_id,area_name,area_id_aggr,area_sort_order,center_x,center_y,n_clusters,n_observations,n_eff_kish,x_eff,estimate_raw,ci_lower_raw,ci_upper_raw,population_mean,model,estimate_smoothed,median_smoothed,ci_lower_smoothed,ci_upper_smoothed,lambda_median,lambda_lower,lambda_upper,local_dic,local_waic
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_25,Zomba City,MWI_1_3,91,35.32190832849267,-15.394038611922465,3,27,23.77545817861141,2.336992587112098,0.09829432390137807,0.06893865720166631,0.1382935957283693,,Model 7,0.09398641263118765,0.09459670085427714,0.08848238315459964,0.1002338827487523,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_26,Chiradzulu,MWI_1_3,92,35.20860922241004,-15.767535233463864,29,319,281.24149086983863,113.92664039076625,0.40508475487883344,0.3486119304536992,0.464186672956744,,Model 7,0.4119981907215982,0.41122058360194635,0.40295143642685716,0.41862310417906645,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_26,Chiradzulu,MWI_1_3,92,35.20860922241004,-15.767535233463864,29,319,281.24149086983863,127.43108301796376,0.4531020036333833,0.3893943755504495,0.5183838532772214,,Model 7,0.4917943578784833,0.49220072505194623,0.48335239196606405,0.5001952973450341,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_26,Chiradzulu,MWI_1_3,92,35.20860922241004,-15.767535233463864,29,319,281.24149086983863,39.88376746110861,0.14181324148778324,0.10020240533670148,0.19692204419122633,,Model 7,0.09620745139991838,0.09686345011241923,0.09036393187815352,0.10261168152872271,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_27,Blantyre,MWI_1_3,93,34.92937934014503,-15.684420375214856,9,83,80.79152773837569,32.99292005961701,0.40837103819173715,0.3243106413106366,0.49815615423116166,,Model 7,0.40752825693217254,0.40677721052656807,0.39836036297819744,0.4138866409636962,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_27,Blantyre,MWI_1_3,93,34.92937934014503,-15.684420375214856,9,83,80.79152773837569,35.409111160522194,0.43827752923779645,0.2919051532112248,0.5962436971880002,,Model 7,0.49675910468659473,0.4971123018224276,0.4884513812700365,0.505416643482604,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_27,Blantyre,MWI_1_3,93,34.92937934014503,-15.684420375214856,9,83,80.79152773837569,12.389496518236486,0.1533514325704664,0.08784619447730316,0.25409580303623075,,Model 7,0.0957126383812328,0.09639659239828988,0.08975467170281604,0.10201009056677754,,,,,
MWI,nosex12m,MWI2010DHS,Y015_024,MWI_5_28,Mwanza,MWI_1_3,94,34.5099911684457,-15.614939980736473,30,316,252.54752642615108,118.61920424138145,0.4696906199002808,0.4122290959993882,0.5279671038789058,,Model 7,0.3990377792285034,0.3985051608544463,0.39050365921239816,0.40543890615273603,,,,,
MWI,sexcohab,MWI2010DHS,Y015_024,MWI_5_28,Mwanza,MWI_1_3,94,34.5099911684457,-15.614939980736473,30,316,252.54752642615108,106.56373681707849,0.42195517938774757,0.3700358385976068,0.4756588680709109,,Model 7,0.5061455324276565,0.5067694828488283,0.49766856775617196,0.5147037360494371,,,,,
MWI,sexnonregplus,MWI2010DHS,Y015_024,MWI_5_28,Mwanza,MWI_1_3,94,34.5099911684457,-15.614939980736473,30,316,252.54752642615108,27.364585367691138,0.10835420071197165,0.07823070976549297,0.1482119663306398,,Model 7,0.09481668834384015,0.0955100347998959,0.08900944247314177,0.10080883601985383,,,,,
