indicator,age_group,area_id,area_name,area_idx,area_id_aggr,area_sort_order,center_x,center_y,survey_id,n_clusters,n_observations,n_eff_kish,x_eff,estimate,ci_lower,ci_upper,n_observations_aggr,estimate_aggr,ci_lower_aggr,ci_upper_aggr,mean,median,lower,upper
sexnonreg,Y015_019,MWI_5_12,Dowa,12,MWI_1_2,78,33.74136484666604,-13.522446322462388,MWI2015DHS,33,209,184.19770345522699,14.734246106021514,0.07999147562446658,0.046123757140325905,0.1352027081586097,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.1096848541438693,0.10896571279891708,0.07433475348043798,0.1491307374610163
sexnonreg,Y015_019,MWI_5_13,Salima,13,MWI_1_2,79,34.45397644726398,-13.766929210379374,MWI2015DHS,29,167,147.57704873712646,36.69738246392099,0.2486659191110989,0.18600639632080965,0.32403084265863574,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.21142230723391092,0.20991836974558908,0.15830222274388728,0.27303638188845314
sexnonreg,Y015_019,MWI_5_14,Lilongwe,14,MWI_1_2,80,33.49846805273636,-14.043042744804868,MWI2015DHS,23,153,148.58135196055682,24.11471492356772,0.16229974088517743,0.10013462447660092,0.25223995373126196,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.1610748763733443,0.15998451267929606,0.11767048735591977,0.2106752809234579
sexnonreg,Y015_019,MWI_5_15,Mchinji,15,MWI_1_2,81,33.02017291331871,-13.78077378384876,MWI2015DHS,31,192,167.4661475906446,32.240670186568046,0.1925205222095236,0.13444590258919287,0.2679159933764349,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.18269639349305739,0.1815773828338731,0.13448881852354772,0.23724313413772727
sexnonreg,Y015_019,MWI_5_16,Dedza,16,MWI_1_2,82,34.318377383724524,-14.239848948358318,MWI2015DHS,34,230,195.86040572269033,25.33579821506744,0.12935640627100112,0.08292516225485401,0.1962227010985237,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.1453526520157176,0.1446141966851286,0.10586881533189225,0.18904755924547048
sexnonreg,Y015_019,MWI_5_17,Ntcheu,17,MWI_1_2,83,34.768812583096306,-14.823401860816109,MWI2015DHS,32,205,177.89663422649733,27.920581912775695,0.15694834269448468,0.1044079381411304,0.22916294505478998,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.16851661445540284,0.1677007959972331,0.12472976888201688,0.21696291375429924
sexnonreg,Y015_019,MWI_5_18,Lilongwe City,18,MWI_1_2,84,33.78466792908087,-13.910102286606284,MWI2015DHS,14,96,94.65531323522761,18.343750732215735,0.19379525676102027,0.1282359246785849,0.282028060153819,1810,0.1567957132176177,0.1335118189227763,0.18328131098374004,0.17725434443380603,0.17541911332847712,0.12021061362842389,0.24468941613275555
sexnonreg,Y015_019,MWI_5_19,Mangochi,19,MWI_1_3,85,35.328070152406454,-14.141555840283553,MWI2015DHS,35,231,202.37486785905037,47.35801566098266,0.23401134815794652,0.17973549866929608,0.2987086042619363,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.22172376149944906,0.22083103203135981,0.17370399766190264,0.2747786802886679
sexnonreg,Y015_019,MWI_5_20,Machinga,20,MWI_1_3,86,35.602032476938035,-14.909474153961227,MWI2015DHS,32,169,150.56412450779786,24.64875949567429,0.1637093801478433,0.1112533755612425,0.2343759360335298,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.18042974057880076,0.1795149525660574,0.1312483456395959,0.23483683619923315
sexnonreg,Y015_019,MWI_5_21,Zomba,21,MWI_1_3,87,35.348680528401296,-15.440977985535987,MWI2015DHS,26,140,136.5275437964652,36.803549382549065,0.26956867719978667,0.1837525916206502,0.3769540952881989,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.2555890760672087,0.2544376101509423,0.19953117482783178,0.31813676244240474
sexnonreg,Y015_019,MWI_5_22,Mulanje,22,MWI_1_3,88,35.54402218968039,-15.908156274932535,MWI2015DHS,33,191,158.8085346267105,52.52393764468458,0.33073749951881,0.2590603727528079,0.4112392621786086,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.30627232795255926,0.30536464515804856,0.24534537900624087,0.3723421391288864
sexnonreg,Y015_019,MWI_5_23,Phalombe,23,MWI_1_3,89,35.66749292862791,-15.69332650228596,MWI2015DHS,30,201,178.82459870205108,36.43162527135212,0.20372826521508228,0.14831497931426665,0.2732037452429954,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.21492900742624946,0.21412020852809927,0.16331401442800217,0.27113572565586347
sexnonreg,Y015_019,MWI_5_24,Balaka,24,MWI_1_3,90,35.060852170308976,-15.035854949993102,MWI2015DHS,30,225,199.91891904908127,41.898619421981664,0.20957806105231744,0.1570514530737846,0.2739628222499076,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.20809931600882642,0.207300658959644,0.16215800053234683,0.2585696595097805
sexnonreg,Y015_019,MWI_5_25,Zomba City,25,MWI_1_3,91,35.32190832849267,-15.394038611922465,MWI2015DHS,9,72,63.887629724931735,22.687085319238744,0.3551092037209397,0.2791941843739494,0.4390917296266903,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.32211627474340465,0.3201937770906396,0.2281829218055154,0.42686402732306
sexnonreg,Y015_019,MWI_5_26,Chiradzulu,26,MWI_1_3,92,35.20860922241004,-15.767535233463864,MWI2015DHS,29,161,156.1217425926412,43.80678787755632,0.2805937670825175,0.19297619031925914,0.3888259121346827,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.27050187557509114,0.2696225100688011,0.2136325261299099,0.3323445399041343
sexnonreg,Y015_019,MWI_5_27,Blantyre,27,MWI_1_3,93,34.92937934014503,-15.684420375214856,MWI2015DHS,16,110,107.77028365109672,19.870929595346002,0.18438227053087827,0.12179395569037788,0.26927210909961297,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.20440520622289962,0.20357301797877056,0.14890300090388253,0.2647381608786966
sexnonreg,Y015_019,MWI_5_28,Mwanza,28,MWI_1_3,94,34.5099911684457,-15.614939980736473,MWI2015DHS,26,163,149.5254863468722,27.034314757132012,0.18080071443083134,0.1155702644053147,0.27154468191354286,2471,0.2431976945782153,0.22148865950849866,0.2663066655148591,0.19013924332093451,0.18917541287100512,0.13969433596165967,0.24608048621261294
